no,name,price,type,area,bedrooms,bathrooms,receptions,district,city,postcode
1479,Montrose Gardens,4750000,House,8590,7,7,7,Oxshott,London,KT22 0UU
1480,Grosvenor Road,2250000,House,2736,5,5,5,Chiswick,London,W4 4EH
1481,Leys Road,4300000,House,9623,7,7,7,Oxshott,London,KT22 0QE
1482,Huron Road,2550000,House,3753,7,7,7,,London,SW17 8RD
1483,Herondale Avenue,5500000,House,4292,6,6,6,Wandsworth,London,SW18 3JN
1484,Victoria Rise,435000,Flat / Apartment,465,1,1,1,,London,SW4 0PF
1485,Stapleton Hall Road,499950,Flat / Apartment,666,1,1,1,,London,N4 4QA
1486,Denton Road,1800000,House,2098,4,4,4,,London,TW1 2TN
1487,Gunmakers Lane,435000,Flat / Apartment,506,1,1,1,,London,E3 5GG
1488,Rochester Row,995000,Flat / Apartment,747,2,2,2,Westminster,London,SW1P 1LQ
1489,Highstone House,1550000,Flat / Apartment,1315,3,3,3,21 Highbury Crescent,London,N5 1RX
1490,Vincent Square,3600000,House,2600,4,4,4,,London,SW1P 2NP
1491,Elsham Road,750000,Flat / Apartment,709,2,2,2,,London,W14 8HB
1492,Cambridge Street,680000,Flat / Apartment,581,2,2,2,Pimlico,London,SW1V 4QE
1493,Roden Street,1395000,House,1428,5,5,5,Holloway,London,N7 6QJ
1494,Bolanachi Building,575000,Flat / Apartment,745,2,2,2,Enid Street,London,SE16 3EX
1495,Barham Road,2675000,House,3595,5,5,5,Wimbledon,London,SW20 0ET
1496,Shepherdess Walk,2200000,Flat / Apartment,2288,3,3,3,Old Street,London,N1 7LB
1497,Wellington Close,2300000,House,1447,2,2,2,,London,W11 2AN
1498,Kenilworth Gardens,520000,House,1162,4,4,4,,London,SE18 3JB
1499,Hillbrook Road,875000,House,1140,4,4,4,,London,SW17 8SF
1500,Television Centre,740000,Penthouse,579,1,1,1,101 Wood Lane,London,W12 7FS
1501,Phoenix Way,525000,Flat / Apartment,699,2,2,2,,London,SW18 2PW
1502,Brunswick Gardens,9500000,House,4454,5,5,5,,London,W8 4AJ
1503,Wood Crescent,1250000,Flat / Apartment,897,2,2,2,,London,W12 7GP
1504,Graveney Road,795000,House,1236,3,3,3,,London,SW17 0EQ
1505,Philbeach Gardens,935000,Flat / Apartment,683,2,2,2,,London,SW5 9DY
1506,Chiswick Village,535000,Flat / Apartment,678,2,2,2,,London,W4 3DF
1507,Sulgrave Road,1995000,House,2055,4,4,4,,London,W6 7QH
1508,Coleraine Road,1800000,House,2996,5,5,5,Blackheath,London,SE3 7PQ
1509,Wellfield Road,750000,House,1030,3,3,3,,London,SW16 2BY
1510,17 Lillie Square,1430000,New development,905,2,2,2, Earls Court,London,SW6 1UE
1511,Claremont Square,1500000,Flat / Apartment,1197,2,2,2,,London,N1 9LS
1512,Leppoc Road,1890000,House,2408,5,5,5,,London,SW4 9LT
1513,Walsingham,1990000,Flat / Apartment,1364,3,3,3,St. Johns Wood Park,London,NW8 6RG
1514,Battersea Park Road,825000,Flat / Apartment,1109,2,2,2,,London,SW11 4ND
1515,Samford House,525000,Flat / Apartment,779,4,4,4,Charlotte Terrace,London,N1 0JF
1516,Buckston Browne Gardens,1900000,House,4558,5,5,5, Orpington,London,BR6 7FF
1517,Leathwaite Road,725000,Flat / Apartment,635,2,2,2,,London,SW11 1XQ
1518,Telfords Yard,900000,Flat / Apartment,1436,2,2,2,,London,E1W 2BS
1519,Belgrave Road,3995000,House,4642,6,6,6,Pimlico,London,SW1V 2BQ
1520,Dalby Road,1100000,House,1420,3,3,3, Wandsworth,London,SW18 1AW
1521,Deerings Drive,975000,House,1448,4,4,4,Pinner,London,HA5 2NZ
1522,Astonville Street,1225000,House,1495,4,4,4,Southfields,London,SW18 5AG
1523,Upper Halliford Road,325000,Flat / Apartment,601,2,2,2,Shepperton,London,TW17 8SH
1524,Earlsfield Road,1175000,House,2259,5,5,5,Wandsworth,London,SW18 3DY
1525,City Road,500000,Flat / Apartment,551,1,1,1,Shoreditch,London,EC1V 1AG
1526,Wilton Place,6600000,House,3388,5,5,5,,London,SW1X 8RH
1527,Hillbrow,850000,Flat / Apartment,1239,3,3,3, Richmond,London,TW10 6BH
1528,Church Road,3950000,House,4629,6,6,6, Richmond,London,TW10 5HG
1529,Regents Park Road,1750000,Flat / Apartment,1677,2,2,2,Primrose Hill,London,NW1 7SX
1530,Spencer Road,1950000,House,2797,6,6,6,East Molesey,London,KT8 0SP
1531,York Mansions,2100000,Flat / Apartment,1550,3,3,3,Prince of Wales Drive,London,SW11 4BN
1532,Overstrand Mansions,1685000,Flat / Apartment,1318,2,2,2,Prince of Wales Drive,London,SW11 4EU
1533,Candlemakers Apartments,550000,Flat / Apartment,759,1,1,1, Battersea,London,SW11 3RS
1534,Bond Mansions (Phase 2a),690000,New development,633,1,1,1,,London,W10 5RZ
1535,Bond Mansions (Phase 2a),685000,New development,594,1,1,1,,London,W10 5RZ
1536,Bond Mansions (Phase 2a),765000,New development,733,2,2,2,,London,W10 5RZ
1537,Cavendish Road,435000,Flat / Apartment,412,1,1,1,,London,SW12 0BH
1538,Cavendish Road,435000,Flat / Apartment,420,1,1,1,,London,SW12 0BH
1539,Bond Mansions (Phase 2a),825000,New development,775,2,2,2,,London,W10 5RZ
1540,Gowing House,1150000,New development,1206,3,3,3, Wandsworth,London,SW18 1SZ
1541,Bond Mansions,710000,New development,830,1,1,1,,London,W10 5RZ
1542,Avenue Close,1695000,Flat / Apartment,1168,2,2,2,Avenue Road,London,NW8 6DA
1543,Provost Street,500000,Flat / Apartment,508,1,1,1,Shoreditch,London,N1 7NB
1544,Cavendish Road,850000,Flat / Apartment,907,3,3,3,,London,SW12 0BH
1545,The Listed Building,970000,Flat / Apartment,1350,2,2,2,350 The Highway,London,E1W 3HU
1546,Highbury Hill,1650000,House,1642,4,4,4,,London,N5 1AU
1547,Reynolds House,475000,Flat / Apartment,663,2,2,2,Approach Road,London,E2 9JR
1548,Trouville Road,1050000,Flat / Apartment,1050,2,2,2,,London,SW4 8QL
1549,Clancarty Road,1750000,House,1770,4,4,4,,London,SW6 3AH
1550,Pembridge Road,750000,Flat / Apartment,477,1,1,1,,London,W11 3HN
1551,Kensington House,650000,Flat / Apartment,1162,2,2,2, Woodford Green,London,IG8 8RJ
1552,Belsize Avenue,580000,Flat / Apartment,607,1,1,1,,London,NW3 4BL
1553,17 Lillie Square,1680000,New development,1100,2,2,2, Earls Court,London,SW6 1UE
1554,Turner House,1250000,Flat / Apartment,802,1,1,1, Covent Garden,London,WC2R 0PP
1555,Pierhead Lock,700000,Flat / Apartment,1387,4,4,4, Canary Wharf,London,E14 3FD
1556,Barmouth Road,799999,Flat / Apartment,1283,2,2,2,Wandsworth,London,SW18 2DN
1557,Margil House,825000,Flat / Apartment,1175,3,3,3,Singapore Road,London,W13 0FD
1558,Television Centre,1050000,Flat / Apartment,953,2,2,2,101 Wood Lane,London,W12 7FT
1559,St. Ann's Crescent,575000,Flat / Apartment,720,2,2,2,,London,SW18 2LR
1560,Eamont Court,725000,Flat / Apartment,617,2,2,2, St Johns Wood,London,NW8 7DW
1561,Hampton Court Way,1000000,House,1827,4,4,4,,London,KT7 0LT
1562,Lanson Building,525000,Flat / Apartment,472,1,1,1,348 Queenstown Road,London,SW11 8QN
1563,Hepworth Court,1600000,Flat / Apartment,1019,3,3,3,30 Gatliff Road,London,SW1W 8QP
1564,Quarry Road,1550000,House,2326,5,5,5,Wandsworth,London,SW18 2QH
1565,Barmouth Road,750000,Flat / Apartment,1176,3,3,3,Wandsworth,London,SW18 2DT
1566,Baxendale Street,950000,House,987,2,2,2,Shoreditch,London,E2 7BY
1567,Redesdale Street,4250000,House,2223,4,4,4,,London,SW3 4BL
1568,Oxford Road,710000,Flat / Apartment,730,2,2,2,Putney,London,SW15 2LF
1569,Ravenswood Park,1100000,House,2007,4,4,4,Northwood,London,HA6 3PR
1570,Davenham Avenue,1600000,House,2914,4,4,4,Northwood,London,HA6 3HW
1571,Chiltern Place,12950000,New development,2840,2,2,2, Marylebone,London,W1U 4EJ
1572,Grosvenor Avenue,749950,Flat / Apartment,1053,3,3,3,Highbury,London,N5 2NP
1573,Devonshire Road,899950,House,1344,5,5,5,,London,W5 4TR
1574,Barwell Court Farmhouse,699950,House,1410,3,3,3, Chessington,London,KT9 2LZ
1575,Hugero Point,399995,Flat / Apartment,569,1,1,1, Greenwich,London,SE10 0GS
1576,Ionian Building,525000,Flat / Apartment,814,1,1,1,45 Narrow Street,London,E14 8DW
1577,Palladian Gardens,2500000,New development,2967,5,5,5,Chiswick,London,W4 2ER
1578,Vanilla & Sesame Court,950000,Flat / Apartment,698,2,2,2,Curlew Street,London,SE1 2NP
1579,George Road,1750000,New development,2553,5,5,5,Kingston Upon Thames,London,KT2 7NR
1580,Lysia Street,1225000,House,1510,4,4,4,Fulham,London,SW6 6NE
1581,Stormont Road,700000,Flat / Apartment,678,2,2,2,,London,SW11 5EJ
1582,17 Lillie Square,2170000,New development,1081,3,3,3, Earls Court,London,SW6 1UE
1583,Cholmondeley Walk,3250000,House,3410,3,3,3,Richmond,London,TW9 1NS
1584,Talisman Tower,630000,Flat / Apartment,709,2,2,2, Canary Wharf,London,E14 9BU
1585,St Paul Street,1600000,House,1565,3,3,3,Islington,London,N1 7AH
1586,Balcorne Street,475000,Flat / Apartment,626,2,2,2,South Hackney,London,E9 7AU
1587,Ormond Road,1025000,Flat / Apartment,992,3,3,3,Richmond,London,TW10 6TH
1588,Fulham Road,500000,Flat / Apartment,481,1,1,1,,London,SW6 5SA
1589,Cleveland Street,550000,Flat / Apartment,358,1,1,1,Fitzrovia,London,W1T 6NU
1590,Ferry Road,4350000,House,4862,6,6,6,Barnes,London,SW13 9PR
1591,Greenhill Court,575000,Flat / Apartment,997,2,2,2, Northwood,London,HA6 2BD
1592,Orchard Rise,2650000,House,3009,5,5,5,Richmond,London,TW10 5BX
1593,Addison Gardens,775000,Flat / Apartment,1173,1,1,1,,London,W14 0DS
1594,Wadham Road,1345000,House,1909,4,4,4,Putney,London,SW15 2LS
1595,Carmalt Gardens,2250000,House,2978,5,5,5,Putney,London,SW15 6NE
1596,Falcon Wharf,500000,Flat / Apartment,752,1,1,1, Battersea,London,SW11 3RY
1597,Parliament View Apartments,1600000,Flat / Apartment,1192,2,2,2,Lambeth,London,SE1 7XQ
1598,Drapers Yard,515000,Flat / Apartment,578,1,1,1,Wandsworth,London,SW18 1SF
1599,East Hill,495000,Flat / Apartment,693,1,1,1,,London,SW18 2HQ
1600,Coborn Road,1485000,House,1541,4,4,4,Bow,London,E3 2DA
1601,Park Village East,3650000,House,2034,4,4,4,Regent's Park,London,NW1 7PZ
1602,Haberdasher Street,825000,Penthouse,896,3,3,3,,London,N1 6EJ
1603,Melrose Road,630000,House,1596,4,4,4,Coulsdon,London,CR5 3JH
1604,Elspeth Road,675000,Flat / Apartment,1021,3,3,3,,London,SW11 1DS
1605,Knightsbridge,17950000,New development,5880,5,5,5,,London,SW3 2AH
1606,Clephane Road,699950,Flat / Apartment,976,3,3,3,Canonbury,London,N1 2FT
1607,Thorpe Hall Mansions,600000,Flat / Apartment,854,3,3,3,Eaton Rise,London,W5 2HB
1608,Aragon Avenue,900000,House,1363,4,4,4,Thames Ditton,London,KT7 0PY
1609,Woodbourne Drive,1195000,House,2149,4,4,4, Esher,London,KT10 0DR
1610,Des Barres Court,395000,Penthouse,594,1,1,1, Greenwich,London,SE10 0GY
1611,Landmark East Tower,795000,Flat / Apartment,862,2,2,2,24 Marsh Wall,London,E14 9DB
1612,Argyll Mansions,1350000,Flat / Apartment,1768,3,3,3,Bishops King Road,London,W14 8QQ
1613,Benbow House,3600000,Flat / Apartment,2147,3,3,3,24 New Globe Walk,London,SE1 9DS
1614,Fernshaw Mansions,1599950,Flat / Apartment,1111,3,3,3,Fernshaw Road,London,SW10 0TD
1615,The Tower,1850000,Flat / Apartment,1176,2,2,2,1 St. George Wharf,London,SW8 2DU
1616,Weldin Mews,875000,House,1211,3,3,3,Putney,London,SW18 1FT
1617,Portman Avenue,1350000,House,1830,5,5,5,,London,SW14 8NX
1618,Bolingbroke Grove,625000,Flat / Apartment,760,2,2,2,,London,SW11 6HB
1619,North Side Wandsworth Common,5500000,House,4273,6,6,6,,London,SW18 2SU
1620,Chiswick Wharf,1595000,House,1643,5,5,5,Chiswick,London,W4 2SR
1621,Pembridge Villas,4750000,House,2979,4,4,4,,London,W11 3EN
1622,Whittingstall Road,675000,Flat / Apartment,638,1,1,1,Fulham,London,SW6 4EA
1623,Noel Road,900000,Flat / Apartment,822,2,2,2,Islington,London,N1 8HD
1624,Buckland Crescent,6450000,House,5288,6,6,6,Belsize Park,London,NW3 5DX
1625,Chantry Street,1600000,House,1195,2,2,2,Islington,London,N1 8NL
1626,Curzon Street,3750000,Flat / Apartment,1358,2,2,2,Mayfair,London,W1J 5HG
1627,Banister House,465000,Flat / Apartment,730,2,2,2,Homerton High Street,London,E9 6BH
1628,North Street,850000,Flat / Apartment,842,2,2,2,,London,SW4 0HQ
1629,Baronsmead Road,3250000,House,3179,6,6,6,Barnes,London,SW13 9RR
1630,Tower View Apartments,1500000,Flat / Apartment,1200,2,2,2,84 St. Katharines Way,London,E1W 1BE
1631,Old School Square,450000,Flat / Apartment,717,2,2,2,Canary Wharf,London,E14 7DJ
1632,Ashley Gardens,2375000,Flat / Apartment,2123,3,3,3,Emery Hill Street,London,SW1P 1PD
1633,Broom Close,1550000,House,3065,4,4,4,Esher,London,KT10 9ET
1634,Elers Road,1780000,House,2264,5,5,5,Ealing,London,W13 9QB
1635,Mortimer Road,775000,Flat / Apartment,729,2,2,2,De Beauvoir,London,N1 4LA
1636,Palace Mansions,1450000,Flat / Apartment,1700,4,4,4,Earsby Street,London,W14 8QW
1637,Wendon Street,425000,Flat / Apartment,563,1,1,1,Bow,London,E3 2JR
1638,Cheyne Walk,2250000,Flat / Apartment,1171,2,2,2,,London,SW3 5LX
1639,Hyde Park Gardens,4250000,Penthouse,1946,4,4,4,,London,W2 2LU
1640,Byfeld Gardens,2000000,House,2009,4,4,4,Barnes,London,SW13 9HP
1641,Severnake Close,800000,House,1260,4,4,4,Canary Wharf,London,E14 9WE
1642,Harrowgate Road,900000,House,1275,3,3,3,Homerton,London,E9 5EB
1643,Glebe Place,6950000,House,3774,5,5,5,,London,SW3 5JB
1644,Borneo Street,779000,Flat / Apartment,832,2,2,2,Putney,London,SW15 1QQ
1645,Dyers Lane,945000,House,1146,2,2,2,Putney,London,SW15 6JR
1646,Cygnet Close,1295000,House,2055,4,4,4,Northwood,London,HA6 2TA
1647,Aristotle Road,599999,Flat / Apartment,821,2,2,2,,London,SW4 7UZ
1648,Northcote Road,550000,Flat / Apartment,630,2,2,2,,London,SW11 6QB
1649,Vardens Road,700000,Flat / Apartment,680,2,2,2,,London,SW11 1RQ
1650,Waterloo Terrace,1850000,House,1512,3,3,3,Islington,London,N1 1TQ
1651,Ember Lane,1299995,House,2394,5,5,5,Esher,London,KT10 8EF
1652,Palace Road,2850000,House,5116,6,6,6,East Molesey,London,KT8 9DW
1653,Sheen Common Drive,2650000,House,2942,6,6,6,Richmond,London,TW10 5BW
1654,Vicary House,795000,New development,541,1,1,1,24 Bartholomew Close,London,EC1A 7BB
1655,47 Pilot Walk,995000,Penthouse,1485,3,3,3,Greenwich,London,SE10 0NW
1656,The Chase,2850000,House,5380,6,6,6, Tadworth,London,KT20 6HZ
1657,Saltram Crescent,750000,Flat / Apartment,1043,3,3,3,,London,W9 3JS
1658,Langroyd Road,900000,House,1207,3,3,3,,London,SW17 7PL
1659,Leighton House,875000,Flat / Apartment,922,3,3,3,John Islip Street,London,SW1P 4EA
1660,Tennyson Road,775000,House,1201,3,3,3,,London,SW19 8SH
1661,Port East Apartments,565000,Flat / Apartment,653,1,1,1, Canary Wharf,London,E14 4AX
1662,City Road,2000000,New development,1342,3,3,3,Shoreditch,London,EC1V 1AZ
1663,City Road,1000000,New development,772,2,2,2,Shoreditch,London,EC1V 1AZ
1664,Hillgate Place,3075000,House,1477,3,3,3,,London,W8 7ST
1665,Albert Mews,1250000,House,1877,4,4,4,Canary Wharf,London,E14 8EH
1666,Newman Street,895000,Flat / Apartment,601,1,1,1,Fitzrovia,London,W1T 1PN
1667,City Road,900000,Flat / Apartment,1273,2,2,2,Shoreditch,London,EC1V 2NR
1668,Priory Lane,699950,House,1226,3,3,3,West Molesey,London,KT8 2PS
1669,Dartmouth Park Road,850000,Flat / Apartment,1382,3,3,3,Dartmouth Park,London,NW5 1SX
1670,Battersea Church Road,725000,Flat / Apartment,872,2,2,2,Battersea,London,SW11 3LY
1671,Mapleton Crescent,345000,Flat / Apartment,433,1,1,1,Wandsworth,London,SW18 4GY
1672,Oxhey Road,950000,House,1896,4,4,4,Oxhey,London,WD19 4QQ
1673,Venice Lodge,1700000,Penthouse,1378,3,3,3,Maida Vale,London,W9 1SD
1674,Stratford Road,1550000,Flat / Apartment,958,3,3,3,,London,W8 6QA
1675,Imperial Court,1350000,Flat / Apartment,1428,3,3,3,4-10 Lexham Gardens,London,W8 5JH
1676,Highbury Place,999950,Flat / Apartment,726,2,2,2,Highbury,London,N5 1QZ
1677,Cross Street,3300000,House,2640,5,5,5,Islington,London,N1 2BH
1678,Kings Drive,1200000,House,2491,3,3,3,Surbiton,London,KT5 8NQ
1679,Winterdown Road,899950,House,1504,3,3,3,Esher,London,KT10 8LJ
1680,Marine Wharf East,485000,New development,545,1,1,1,,London,SE16 7UD
1681,Lucienne Court,630000,Penthouse,1043,2,2,2,72 Lindfield Street,London,E14 6GT
1682,47 Pilot Walk,720000,Flat / Apartment,987,2,2,2,Greenwich,London,SE10 0NW
1683,Park Road,2350000,House,2666,4,4,4,Grove Park,London,W4 3HP
1684,Edgarley Terrace,800000,Flat / Apartment,703,2,2,2,,London,SW6 6QE
1685,Octavia Street,1800000,House,1909,4,4,4,Battersea,London,SW11 3DN
1686,Barrow Road,1650000,House,2942,5,5,5,,London,SW16 5PE
1687,Marner Point,367500,Flat / Apartment,472,1,1,1, Bow,London,E3 3QE
1688,Shandon Road,945000,Flat / Apartment,1081,2,2,2,,London,SW4 9HP
1689,Princes Drive,2500000,House,5101,6,6,6, Leatherhead,London,KT22 0UL
1690,Watford Heath,995000,House,1845,4,4,4,Oxhey Village,London,WD19 4EU
1691,Catalina House,685000,Flat / Apartment,560,1,1,1,4 Canter Way,London,E1 8QE
1692,Rosemont Road,1100000,House,1582,4,4,4,Hampstead,London,NW3 6NE
1693,17 Lillie Square,865000,New development,606,1,1,1, Earls Court,London,SW6 1UE
1694,Haverstock Place,725000,Flat / Apartment,696,2,2,2,Haverstock Street,London,N1 8BX
1695,Saville Road,1200000,House,1310,4,4,4,Chiswick,London,W4 5HG
1696,Castelnau,1700000,House,2126,4,4,4,Barnes,London,SW13 9ER
1697,East Hill,425000,Flat / Apartment,574,1,1,1,,London,SW18 2HG
1698,Herne Road,995000,House,1839,5,5,5,Surbiton,London,KT6 5BX
1699,Ludo Building,525000,Flat / Apartment,596,2,2,2,375 Earlsfield Road,London,SW18 3DG
1700,Paultons Square,6350000,House,2948,4,4,4,,London,SW3 5AP
1701,Broom Road,2275000,House,2803,5,5,5,Teddington,London,TW11 9PG
1702,Burnelli Building,825000,Flat / Apartment,722,2,2,2, 352 Queenstown Road,London,SW11 8NG
1703,Peninsula Heights,1750000,Flat / Apartment,1481,2,2,2,93 Albert Embankment,London,SE1 7TY
1704,Atheldene Road,1100000,House,1632,3,3,3, Wandsworth,London,SW18 3BN
1705,Old Ford Road,530000,Flat / Apartment,626,2,2,2,,London,E3 5NQ
1706,St. Ann's Terrace,1795000,Flat / Apartment,1149,2,2,2,St. John's Wood,London,NW8 6PH
1707,Mallinson Road,725000,Flat / Apartment,805,2,2,2,,London,SW11 1BL
1708,Richmond Road,775000,Flat / Apartment,996,2,2,2,Hackney,London,E8 3QW
1709,Manor Road,850000,House,1242,3,3,3,,London,W13 0JA
1710,The Gallops,825000,House,1272,3,3,3,Esher,London,KT10 8BN
1711,Henry Tate Mews,845000,House,1510,4,4,4,,London,SW16 3HA
1712,Paget Street,850000,Flat / Apartment,826,2,2,2,Clerkenwell,London,EC1V 7PA
1713,Ennismore Avenue,875000,Flat / Apartment,977,2,2,2,Chiswick,London,W4 1SE
1714,Malthouse Passage,1000000,House,1354,3,3,3,Barnes,London,SW13 0AQ
1715,Buckingham Court,1050000,Flat / Apartment,751,2,2,2,78 Buckingham Gate,London,SW1E 6PE
1716,Lavender Hill,575000,Flat / Apartment,765,2,2,2,,London,SW11 5RW
1717,Benbow Road,995000,Flat / Apartment,1013,2,2,2,,London,W6 0AU
1718,Brendon Close,1650000,House,3285,4,4,4,Esher,London,KT10 9EH
1719,Wood Crescent,1545000,New development,1440,2,2,2,,London,W12 7GJ
1720,The Highway,869995,Flat / Apartment,1333,2,2,2,,London,E1W 3HU
1721,Dungarvan Avenue,1295000,House,1647,4,4,4,Putney,London,SW15 5QU
1722,Ensleigh Lodge,4250000,House,3893,5,5,5,25 Ham Common,London,TW10 7JB
1723,Bessborough Place,1800000,House,1467,3,3,3,,London,SW1V 3SE
1724,Cabul Road,799950,Flat / Apartment,1194,3,3,3,,London,SW11 2PN
1725,Blackhills,1999500,House,3769,5,5,5,Esher,London,KT10 9JW
1726,Borneo Street,775000,Flat / Apartment,863,2,2,2,Putney,London,SW15 1QQ
1727,Boleyn Road,885000,Penthouse,1084,3,3,3,,London,N16 8EP
1728,Farnsworth Court,495000,Flat / Apartment,821,2,2,2, Greenwich,London,SE10 0RU
1729,Seymour Road,1550000,New development,2690,5,5,5,East Molesey,London,KT8 0PF
1730,Chelsea Court,600000,Flat / Apartment,455,1,1,1,95 Elm Park Gardens,London,SW10 9QW
1731,Park Road,1925000,House,4124,6,6,6,Banstead,London,SM7 3EF
1732,Clapham Common North Side,3425000,House,3622,6,6,6,,London,SW4 9SB
1733,Stillingfleet Road,1500000,House,2278,5,5,5,Barnes,London,SW13 9AF
1734,Eustace Building,800000,Flat / Apartment,708,2,2,2, 372 Queenstown Road,London,SW11 8NT
1735,Highbury Place,1050000,Flat / Apartment,1020,2,2,2,,London,N5 1QP
1736,Islington Green,675000,Flat / Apartment,628,2,2,2,Islington,London,N1 2XA
1737,Highgate High Street,875000,Flat / Apartment,1077,2,2,2,Highgate,London,N6 5JG
1738,Norman Avenue,1900000,House,2061,5,5,5,,London,TW1 2LY
1739,Frithwood Avenue,450000,Flat / Apartment,708,2,2,2,Northwood,London,HA6 3LX
1740,Elsham Road,750000,Flat / Apartment,778,2,2,2,,London,W14 8HB
1741,Atkins Square,685000,New development,1000,3,3,3,Dalston Lane,London,E8 1FA
1742,Dukes Mews,4000000,House,2435,3,3,3,Marylebone,London,W1U 3ET
1743,Beech Close,1335000,House,1771,3,3,3,Putney,London,SW15 4HW
1744,Admiralty House,2250000,New development,1265,3,3,3,150 Vaughan Way,London,E1W 2AH
1745,Westfield,1625000,Flat / Apartment,1612,3,3,3, Hampstead,London,NW3 7SG
1746,Crane Grove,850000,Flat / Apartment,723,2,2,2,,London,N7 8LE
1747,Crane Grove,550000,Flat / Apartment,536,1,1,1,,London,N7 8LE
1748,Crane Grove,1400000,House,1259,3,3,3,,London,N7 8LE
1749,Balham Grove,1200000,House,1335,4,4,4,Nightingale Triangle,London,SW12 8AZ
1750,Lambourne Avenue,5995000,New development,6313,6,6,6,Wimbledon,London,SW19 7DW
1751,Poppyfield House,495000,Flat / Apartment,767,2,2,2,Copperwood Place,London,SE10 8GD
1752,Thornhill Road,2750000,House,2479,4,4,4, Islington,London,N1 1JT
1753,Mare Street,1675000,House,2110,4,4,4,Hackney,London,E8 1HE
1754,Asquith House,1595000,Flat / Apartment,1316,3,3,3, Westminster,London,SW1P 2AR
1755,Boydell Court,1395000,Flat / Apartment,1171,3,3,3,St. Johns Wood Park,London,NW8 6NJ
1756,The Galleries,3295000,Flat / Apartment,2435,4,4,4,9 Abbey Road,London,NW8 9AQ
1757,Fleur De Lis Street,800000,Flat / Apartment,857,1,1,1,Spitalfields,London,E1 6BP
1758,Chester Row,3300000,House,1669,3,3,3,Belgravia,London,SW1W 8JP
1759,Queens Road,625000,Flat / Apartment,729,2,2,2,Richmond,London,TW10 6JW
1760,Oak Lodge Avenue,1000000,House,2232,5,5,5,Chigwell,London,IG7 5JA
1761,Eden Close,2250000,House,1735,3,3,3,,London,W8 6UW
1762,Gillespie Road,550000,Flat / Apartment,585,1,1,1,Highbury,London,N5 1LN
1763,Wood Lane,3250000,House,2813,5,5,5,Highgate,London,N6 5UB
1764,Perrymead Street,2990000,House,3175,6,6,6, Fulham,London,SW6 3SN
1765,Spice Court,475000,Flat / Apartment,566,1,1,1,Asher Way,London,E1W 2JD
1766,Victoria Wharf,750000,Flat / Apartment,885,2,2,2, Limehouse,London,E14 8DD
1767,Askew Mansions,675000,Flat / Apartment,858,3,3,3,,London,W12 9DA
1768,Castelnau Gardens,950000,Flat / Apartment,1016,2,2,2,Barnes,London,SW13 8DU
1769,Garratt Lane,450000,Flat / Apartment,495,1,1,1,Wandsworth,London,SW18 4SW
1770,Castle Road,1500000,House,5587,7,7,7, Coulsdon,London,CR5 3NS
1771,King Henrys Road,2250000,Flat / Apartment,1547,3,3,3,Primrose Hill,London,NW3 3RP
1772,Cole Park Road,2295000,House,3823,6,6,6,,London,TW1 1HT
1773,Montpelier Mews,2675000,House,1087,3,3,3,,London,SW7 1HB
1774,Sheen Common Drive,3650000,House,4135,5,5,5,Richmond,London,TW10 5BN
1775,Hillview,1250000,Flat / Apartment,943,2,2,2,2-4 Primrose Hill Road,London,NW3 3AX
1776,Sandown House,650000,Flat / Apartment,1031,2,2,2, Esher,London,KT10 9SL
1777,Drake House,850000,Flat / Apartment,861,2,2,2, Vauxhall,London,SW8 2LR
1778,West India Quay,1000000,Flat / Apartment,1514,2,2,2, Canary Wharf,London,E14 4EF
1779,Bartholomew Villas,825000,Flat / Apartment,687,2,2,2,Kentish Town,London,NW5 2LL
1780,Distillery Wharf,1050000,Flat / Apartment,1091,2,2,2, Regatta Lane,London,W6 9BF
1781,Great North Road,2375000,House,3116,6,6,6,Highgate,London,N6 4LU
1782,Parkfields,2950000,House,3235,6,6,6,Putney,London,SW15 6NH
1783,Montevetro,1595000,Flat / Apartment,1219,2,2,2, Battersea,London,SW11 3YL
1784,St. John's Wood Terrace,3750000,House,2243,5,5,5,St John's Wood,London,NW8 6JL
1785,Birchside Apartments,550000,Flat / Apartment,599,1,1,1, Queens Park,London,NW6 5FS
1786,Alaska Apartments,590000,Flat / Apartment,1048,2,2,2, Royal Docks,London,E16 1BW
1787,Newton Street,1298000,New development,591,1,1,1,Covent Garden,London,WC2B 5EL
1788,Eaton Terrace,7100000,House,2908,5,5,5,Belgravia,London,SW1W 8TW
1789,Hardwicks Square,450000,Flat / Apartment,572,1,1,1,Wandsworth,London,SW18 4AG
1790,Union Wharf,1795000,House,1842,3,3,3, Islington,London,N1 7BL
1791,Kingsland Road,375000,Flat / Apartment,450,1,1,1,,London,E2 8AS
1792,Globe House,660000,Flat / Apartment,929,2,2,2, Canary Wharf,London,E14 0LU
1793,Wadham Gardens,7950000,Flat / Apartment,4168,4,4,4,Primrose Hill,London,NW3 3DN
1794,Dunraven Road,775000,Flat / Apartment,858,2,2,2,,London,W12 7QY
1795,Chronicle Tower,995000,Flat / Apartment,875,2,2,2, Shoreditch,London,EC1V 1AL
1796,Lillian Road,1350000,House,1520,3,3,3,Barnes,London,SW13 9JF
1797,Polworth Road,535000,Flat / Apartment,887,3,3,3,,London,SW16 2EU
1798,Marylands Road,385000,Flat / Apartment,344,1,1,1,,London,W9 2DU
1799,Earl's Court Square,1195000,Flat / Apartment,723,2,2,2,,London,SW5 9DQ
